"cell_id","scenario_id","scenario_order","scenario_label","short_label","purpose","in_main_text","n","h","is_null","reps","alpha","atom","seed","effect_text","pi0","pi1","expected_combined_delta","empirical_combined_delta","empirical_combined_delta_sd","completed_at"
1,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,0,TRUE,10000,0.05,0,20260416,"$\\delta = 0.00$",0.85,0.85,0,0.00209377399239975,0.281519557620331,"2026-04-17 18:03:02 CEST"
2,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,0,TRUE,10000,0.05,0,20260417,"$\\delta = 0.00$",0.85,0.85,0,0.00237042164114119,0.199825201174027,"2026-04-17 18:05:20 CEST"
3,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,0,TRUE,10000,0.05,0,20260418,"$\\delta = 0.00$",0.85,0.85,0,-0.00310625107306395,0.163977443285496,"2026-04-17 18:10:31 CEST"
4,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,0,TRUE,10000,0.05,0,20260419,"$\\delta = 0.00$",0.85,0.85,0,0.000490653697519968,0.141926956935886,"2026-04-17 18:14:03 CEST"
5,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,0,TRUE,10000,0.05,0,20260420,"$\\delta = 0.00$",0.85,0.85,0,-0.000111439931333359,0.12716165481281,"2026-04-17 18:13:37 CEST"
6,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,0,TRUE,10000,0.05,0,20260421,"$\\delta = 0.00$",0.85,0.85,0,7.88212076199178e-05,0.115616869966771,"2026-04-17 18:17:23 CEST"
7,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,0,TRUE,10000,0.05,0,20260422,"$\\delta = 0.00$",0.85,0.85,0,0.000862602540467805,0.106541440862496,"2026-04-17 18:27:44 CEST"
8,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,0,TRUE,10000,0.05,0,20260423,"$\\delta = 0.00$",0.85,0.85,0,-0.00174479780622196,0.100147685625088,"2026-04-17 18:19:47 CEST"
9,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,0,TRUE,10000,0.05,0,20260424,"$\\delta = 0.00$",0.85,0.85,0,-0.000543697340047799,0.0951106388939663,"2026-04-17 18:25:06 CEST"
10,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,0,TRUE,10000,0.05,0,20260425,"$\\delta = 0.00$",0.85,0.85,0,0.000785855006199039,0.0900895986169065,"2026-04-17 18:25:19 CEST"
